Sr. No.,Product ID,Product Name,Brand,Main Images,Sub Images,PFL Images,White Background Images,Lifestyle Images,Certificate Images,Giftbox Images,Diecut Images,A+ Content Images,Ads Images,Unedited Images,PFL Generated Images
185,6294009950839,"RoyalFord RF390C24 Non-stick CookWare with Lid, 24cm",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
186,6294009950853,"RoyalFord RF392C28 Non-stick CookWare with Lid, 28cm",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
187,6294009950860,"RoyalFord RF393C30 Non-stick CookWare with Lid, 30cm",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
188,6294009950877,"RoyalFord RF394FP18 Non-stick Fry Pan, 18cm",Royalford,1,0,0,0,0,0,0,0,0,0,1,0
189,6294009950884,"RoyalFord RF395FP20 Non-stick Fry Pan, 20cm",Royalford,1,0,0,0,0,0,0,0,0,0,1,0
190,6294009950907,"RoyalFord RF397FP24 Non-stick Fry Pan, 24cm",Royalford,1,0,0,0,0,0,0,0,0,0,1,0
191,6294009950914,"RoyalFord RF398FP26 Non-stick Fry Pan, 26cm",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
192,6294009950921,"RoyalFord RF399FP28 Non-stick Fry Pan, 28cm",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
193,6294009925493,"RoyalFord RF4013 Aluminum Airport Mop, 131 x 74 x 35cm",Royalford,1,0,0,0,0,0,0,0,0,0,0,0
194,6294009926469,Royalford RF4109 Cleaver Knife. 6,Royalford,1,0,0,0,0,0,0,1,0,0,0,0
195,6294009926476,"Royalford RF4110 Chef Knife, 8",Royalford,1,0,0,0,0,0,0,1,0,0,0,0
196,6294009926483,"Royalford RF4111 Slicer Knife, 8",Royalford,1,0,0,0,0,0,0,1,0,0,0,0
197,6294009926490,"Royalford RF4112 Utility Knife, 5",Royalford,0,0,0,0,0,0,0,1,0,0,1,0
198,6294009926506,"Royalford RF4113 Pairing Knife, 3.5",Royalford,0,0,0,0,0,0,0,0,0,0,1,0
199,6294009926636,"RoyalFord RF4125PC Non-stick Pan Caker, 26cm",Royalford,1,1,0,0,0,0,0,0,0,0,0,0
